sample_id	genotype_id	qtl_group
ind_871	OneK1K_871	CD4_Naive
ind_724	OneK1K_724	CD4_Naive
ind_319	OneK1K_319	CD4_Naive
ind_45	OneK1K_45	CD4_Naive
ind_767	OneK1K_767	CD4_Naive
ind_721	OneK1K_721	CD4_Naive
ind_596	OneK1K_596	CD4_Naive
ind_92	OneK1K_92	CD4_Naive
ind_856	OneK1K_856	CD4_Naive
ind_559	OneK1K_559	CD4_Naive
ind_205	OneK1K_205	CD4_Naive
ind_663	OneK1K_663	CD4_Naive
ind_837	OneK1K_837	CD4_Naive
ind_804	OneK1K_804	CD4_Naive
ind_515	OneK1K_515	CD4_Naive
ind_1005	OneK1K_1005	CD4_Naive
ind_375	OneK1K_375	CD4_Naive
ind_591	OneK1K_591	CD4_Naive
ind_891	OneK1K_891	CD4_Naive
ind_287	OneK1K_287	CD4_Naive
ind_473	OneK1K_473	CD4_Naive
ind_47	OneK1K_47	CD4_Naive
ind_238	OneK1K_238	CD4_Naive
ind_295	OneK1K_295	CD4_Naive
ind_785	OneK1K_785	CD4_Naive
ind_679	OneK1K_679	CD4_Naive
ind_472	OneK1K_472	CD4_Naive
ind_242	OneK1K_242	CD4_Naive
ind_697	OneK1K_697	CD4_Naive
ind_153	OneK1K_153	CD4_Naive
ind_1064	OneK1K_1064	CD4_Naive
ind_1046	OneK1K_1046	CD4_Naive
ind_894	OneK1K_894	CD4_Naive
ind_545	OneK1K_545	CD4_Naive
ind_134	OneK1K_134	CD4_Naive
ind_454	OneK1K_454	CD4_Naive
ind_381	OneK1K_381	CD4_Naive
ind_230	OneK1K_230	CD4_Naive
ind_795	OneK1K_795	CD4_Naive
ind_387	OneK1K_387	CD4_Naive
ind_202	OneK1K_202	CD4_Naive
ind_486	OneK1K_486	CD4_Naive
ind_952	OneK1K_952	CD4_Naive
ind_141	OneK1K_141	CD4_Naive
ind_939	OneK1K_939	CD4_Naive
ind_1056	OneK1K_1056	CD4_Naive
ind_533	OneK1K_533	CD4_Naive
ind_170	OneK1K_170	CD4_Naive
