genotype_id	sex
OneK1K_1	female
OneK1K_2	female
OneK1K_3	female
OneK1K_4	female
OneK1K_5	female
OneK1K_6	female
OneK1K_7	female
OneK1K_8	male
OneK1K_9	female
OneK1K_10	female
OneK1K_11	male
OneK1K_12	female
OneK1K_13	female
OneK1K_14	female
OneK1K_15	female
OneK1K_16	female
OneK1K_17	male
OneK1K_18	female
OneK1K_19	female
OneK1K_20	female
OneK1K_21	male
OneK1K_22	female
OneK1K_23	male
OneK1K_24	male
OneK1K_25	male
OneK1K_26	female
OneK1K_27	female
OneK1K_28	female
OneK1K_29	female
OneK1K_30	male
OneK1K_31	male
OneK1K_32	female
OneK1K_33	female
OneK1K_34	female
OneK1K_35	female
OneK1K_36	male
OneK1K_37	female
OneK1K_38	male
OneK1K_39	female
OneK1K_40	female
OneK1K_41	male
OneK1K_42	female
OneK1K_43	female
OneK1K_44	male
OneK1K_45	male
OneK1K_46	male
OneK1K_47	female
OneK1K_48	female
OneK1K_49	male
OneK1K_50	male
OneK1K_51	female
OneK1K_52	female
OneK1K_53	female
OneK1K_54	female
OneK1K_55	female
OneK1K_56	female
OneK1K_57	male
OneK1K_58	male
OneK1K_59	male
OneK1K_60	female
OneK1K_61	male
OneK1K_62	male
OneK1K_63	female
OneK1K_64	male
OneK1K_65	male
OneK1K_66	female
OneK1K_67	male
OneK1K_68	male
OneK1K_69	female
OneK1K_70	male
OneK1K_71	female
OneK1K_72	male
OneK1K_73	female
OneK1K_74	male
OneK1K_75	female
OneK1K_76	male
OneK1K_77	male
OneK1K_78	male
OneK1K_79	female
OneK1K_80	female
OneK1K_81	female
OneK1K_82	male
OneK1K_83	female
OneK1K_84	male
OneK1K_85	male
OneK1K_86	male
OneK1K_87	male
OneK1K_88	male
OneK1K_89	male
OneK1K_90	female
OneK1K_91	male
OneK1K_92	male
OneK1K_93	male
OneK1K_94	male
OneK1K_95	male
OneK1K_96	male
OneK1K_97	male
OneK1K_98	female
OneK1K_99	female
OneK1K_100	male
OneK1K_101	female
OneK1K_102	female
OneK1K_103	female
OneK1K_104	female
OneK1K_105	female
OneK1K_106	male
OneK1K_107	male
OneK1K_108	female
OneK1K_109	male
OneK1K_110	female
OneK1K_111	female
OneK1K_112	female
OneK1K_113	male
OneK1K_114	female
OneK1K_115	male
OneK1K_116	female
OneK1K_117	male
OneK1K_118	female
OneK1K_119	male
OneK1K_120	male
OneK1K_121	male
OneK1K_122	female
OneK1K_123	male
OneK1K_124	female
OneK1K_125	female
OneK1K_126	male
OneK1K_127	female
OneK1K_128	male
OneK1K_129	male
OneK1K_130	male
OneK1K_131	female
OneK1K_132	female
OneK1K_133	male
OneK1K_134	female
OneK1K_135	female
OneK1K_136	female
OneK1K_137	female
OneK1K_138	male
OneK1K_139	female
OneK1K_140	male
OneK1K_141	female
OneK1K_142	female
OneK1K_143	female
OneK1K_144	male
OneK1K_145	male
OneK1K_146	male
OneK1K_147	female
OneK1K_148	male
OneK1K_149	female
OneK1K_150	female
OneK1K_151	female
OneK1K_152	male
OneK1K_153	female
OneK1K_154	male
OneK1K_155	male
OneK1K_156	female
OneK1K_157	female
OneK1K_158	male
OneK1K_159	male
OneK1K_160	female
OneK1K_161	female
OneK1K_162	female
OneK1K_163	female
OneK1K_165	female
OneK1K_166	female
OneK1K_167	female
OneK1K_168	female
OneK1K_169	male
OneK1K_170	male
OneK1K_171	female
OneK1K_172	female
OneK1K_173	female
OneK1K_174	male
OneK1K_175	female
OneK1K_176	female
OneK1K_177	female
OneK1K_178	male
OneK1K_179	male
OneK1K_180	female
OneK1K_181	female
OneK1K_182	female
OneK1K_183	male
OneK1K_184	female
OneK1K_185	male
OneK1K_186	male
OneK1K_187	female
OneK1K_188	male
OneK1K_189	male
OneK1K_190	female
OneK1K_191	male
OneK1K_192	female
OneK1K_193	female
OneK1K_194	female
OneK1K_195	female
OneK1K_196	female
OneK1K_197	male
OneK1K_198	male
OneK1K_199	female
OneK1K_200	female
OneK1K_201	male
OneK1K_202	male
OneK1K_203	female
OneK1K_204	male
OneK1K_205	male
OneK1K_206	female
OneK1K_207	female
OneK1K_208	male
OneK1K_209	female
OneK1K_210	male
OneK1K_211	male
OneK1K_212	female
