sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188030	NA19119	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122944	YRI	Yoruba	AFR	African
ERR188037	NA19236	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125001	YRI	Yoruba	AFR	African
ERR188042	NA19204	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122985	YRI	Yoruba	AFR	African
ERR188044	NA18498	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124058	YRI	Yoruba	AFR	African
ERR188055	NA19171	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124419	YRI	Yoruba	AFR	African
ERR188060	NA18517	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124883	YRI	Yoruba	AFR	African
ERR188064	NA19144	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123373	YRI	Yoruba	AFR	African
ERR188066	NA19118	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122943	YRI	Yoruba	AFR	African
ERR188069	NA19096	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123662	YRI	Yoruba	AFR	African
ERR188072	NA19137	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125235	YRI	Yoruba	AFR	African
ERR188074	NA19257	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123495	YRI	Yoruba	AFR	African
ERR188085	NA18520	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123565	YRI	Yoruba	AFR	African
ERR188096	NA18933	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123037	YRI	Yoruba	AFR	African
ERR188097	NA18511	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124885	YRI	Yoruba	AFR	African
ERR188103	NA19184	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123859	YRI	Yoruba	AFR	African
ERR188104	NA19146	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125080	YRI	Yoruba	AFR	African
ERR188109	NA19121	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125015	YRI	Yoruba	AFR	African
ERR188120	NA19256	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124707	YRI	Yoruba	AFR	African
ERR188128	NA19092	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123173	YRI	Yoruba	AFR	African
ERR188129	NA19197	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125309	YRI	Yoruba	AFR	African
ERR188131	NA19213	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125384	YRI	Yoruba	AFR	African
ERR188139	NA18917	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123407	YRI	Yoruba	AFR	African
ERR188151	NA18489	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124102	YRI	Yoruba	AFR	African
ERR188158	NA18502	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125055	YRI	Yoruba	AFR	African
ERR188162	NA18508	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124318	YRI	Yoruba	AFR	African
ERR188165	NA18510	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124886	YRI	Yoruba	AFR	African
ERR188170	NA19131	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125230	YRI	Yoruba	AFR	African
ERR188174	NA19198	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124049	YRI	Yoruba	AFR	African
ERR188178	NA19114	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122953	YRI	Yoruba	AFR	African
ERR188182	NA18912	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123404	YRI	Yoruba	AFR	African
ERR188183	NA19185	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123858	YRI	Yoruba	AFR	African
ERR188184	NA19147	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124613	YRI	Yoruba	AFR	African
ERR188188	NA19099	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125240	YRI	Yoruba	AFR	African
ERR188193	NA19141	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124607	YRI	Yoruba	AFR	African
ERR188200	NA18519	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124888	YRI	Yoruba	AFR	African
